"date","(중국 AND  대만 AND  양안)"
"2000","734"
"2001","346"
"2002","156"
"2003","130"
"2004","443"
"2005","506"
"2006","194"
"2007","140"
"2008","722"
"2009","496"
"2010","543"
"2011","244"
"2012","309"
"2013","153"
"2014","306"
"2015","425"
"2016","731"
"2017","173"
"2018","463"
"2019","308"
"2020","407"
"2021","883"
"2022","241"
