"date","(중국 AND  대만 AND  양안)"
"200001","22"
"200002","48"
"200003","221"
"200004","57"
"200005","105"
"200006","83"
"200007","36"
"200008","25"
"200009","31"
"200010","34"
"200011","37"
"200012","35"
"200101","58"
"200102","26"
"200103","38"
"200104","27"
"200105","42"
"200106","29"
"200107","20"
"200108","51"
"200109","9"
"200110","7"
"200111","26"
"200112","13"
"200201","14"
"200202","17"
"200203","15"
"200204","2"
"200205","7"
"200206","9"
"200207","12"
"200208","42"
"200209","4"
"200210","5"
"200211","23"
"200212","6"
"200301","19"
"200302","4"
"200303","12"
"200304","1"
"200305","6"
"200306","2"
"200307","11"
"200308","10"
"200309","7"
"200310","8"
"200311","22"
"200312","28"
"200401","17"
"200402","13"
"200403","73"
"200404","13"
"200405","50"
"200406","28"
"200407","34"
"200408","36"
"200409","37"
"200410","44"
"200411","37"
"200412","61"
"200501","45"
"200502","31"
"200503","118"
"200504","119"
"200505","82"
"200506","20"
"200507","20"
"200508","18"
"200509","13"
"200510","13"
"200511","11"
"200512","16"
"200601","20"
"200602","35"
"200603","45"
"200604","31"
"200605","5"
"200606","12"
"200607","15"
"200608","5"
"200609","6"
"200610","9"
"200611","5"
"200612","6"
"200701","9"
"200702","9"
"200703","20"
"200704","14"
"200705","14"
"200706","3"
"200707","13"
"200708","12"
"200709","17"
"200710","22"
"200711","5"
"200712","2"
"200801","24"
"200802","3"
"200803","104"
"200804","98"
"200805","65"
"200806","96"
"200807","56"
"200808","25"
"200809","16"
"200810","54"
"200811","94"
"200812","87"
"200901","37"
"200902","13"
"200903","17"
"200904","53"
"200905","59"
"200906","41"
"200907","41"
"200908","39"
"200909","34"
"200910","50"
"200911","49"
"200912","63"
"201001","48"
"201002","42"
"201003","41"
"201004","27"
"201005","25"
"201006","117"
"201007","64"
"201008","44"
"201009","48"
"201010","29"
"201011","22"
"201012","36"
"201101","31"
"201102","20"
"201103","15"
"201104","10"
"201105","19"
"201106","36"
"201107","21"
"201108","6"
"201109","26"
"201110","23"
"201111","19"
"201112","18"
"201201","153"
"201202","24"
"201203","7"
"201204","11"
"201205","16"
"201206","17"
"201207","17"
"201208","17"
"201209","19"
"201210","5"
"201211","14"
"201212","9"
"201301","11"
"201302","17"
"201303","17"
"201304","16"
"201305","9"
"201306","28"
"201307","9"
"201308","10"
"201309","4"
"201310","17"
"201311","8"
"201312","7"
"201401","20"
"201402","95"
"201403","30"
"201404","18"
"201405","4"
"201406","14"
"201407","9"
"201408","5"
"201409","21"
"201410","24"
"201411","30"
"201412","36"
"201501","10"
"201502","10"
"201503","24"
"201504","17"
"201505","52"
"201506","24"
"201507","21"
"201508","25"
"201509","9"
"201510","12"
"201511","191"
"201512","30"
"201601","370"
"201602","38"
"201603","22"
"201604","14"
"201605","97"
"201606","22"
"201607","19"
"201608","14"
"201609","11"
"201610","28"
"201611","22"
"201612","74"
"201701","35"
"201702","18"
"201703","26"
"201704","16"
"201705","13"
"201706","16"
"201707","8"
"201708","7"
"201709","3"
"201710","10"
"201711","7"
"201712","14"
"201801","22"
"201802","21"
"201803","33"
"201804","29"
"201805","74"
"201806","82"
"201807","26"
"201808","36"
"201809","12"
"201810","18"
"201811","82"
"201812","28"
"201901","56"
"201902","3"
"201903","16"
"201904","34"
"201905","20"
"201906","7"
"201907","46"
"201908","37"
"201909","19"
"201910","33"
"201911","15"
"201912","22"
"202001","119"
"202002","9"
"202003","8"
"202004","4"
"202005","76"
"202006","23"
"202007","26"
"202008","23"
"202009","18"
"202010","67"
"202011","23"
"202012","11"
"202101","30"
"202102","20"
"202103","43"
"202104","70"
"202105","153"
"202106","95"
"202107","32"
"202108","18"
"202109","43"
"202110","141"
"202111","123"
"202112","115"
"202201","58"
"202202","44"
"202203","54"
"202204","13"
"202205","38"
"202206","34"
