"date","(중국 AND  대만 AND  양안)"
"20070811","5"
"20070818","0"
"20070825","5"
"20070901","6"
"20070908","5"
"20070915","2"
"20070922","1"
"20070929","5"
"20071006","0"
"20071013","17"
"20071020","0"
"20071027","3"
"20071103","1"
"20071110","3"
"20071117","1"
"20071124","0"
"20071201","0"
"20071208","2"
"20071215","0"
"20071222","0"
"20071229","0"
"20080105","3"
"20080112","15"
"20080119","5"
"20080126","1"
"20080202","2"
"20080209","1"
"20080216","0"
"20080223","0"
"20080301","5"
"20080308","4"
"20080315","28"
"20080322","62"
"20080329","13"
"20080405","21"
"20080412","50"
"20080419","6"
"20080426","13"
"20080503","0"
"20080510","3"
"20080517","28"
"20080524","30"
"20080531","14"
"20080607","36"
"20080614","27"
"20080621","17"
"20080628","21"
"20080705","22"
"20080712","4"
"20080719","9"
"20080726","8"
"20080802","4"
"20080809","7"
"20080816","1"
"20080823","10"
"20080830","7"
"20080906","3"
"20080913","4"
"20080920","2"
"20080927","5"
"20081004","15"
"20081011","3"
"20081018","7"
"20081025","25"
"20081101","64"
"20081108","16"
"20081115","6"
"20081122","8"
"20081129","3"
"20081206","3"
"20081213","36"
"20081220","38"
"20081227","15"
"20090103","3"
"20090110","12"
"20090117","13"
"20090124","1"
"20090131","4"
"20090207","2"
"20090214","3"
"20090221","4"
"20090228","6"
"20090307","3"
"20090314","3"
"20090321","5"
"20090328","3"
"20090404","1"
"20090411","13"
"20090418","14"
"20090425","28"
"20090502","16"
"20090509","4"
"20090516","23"
"20090523","10"
"20090530","9"
"20090606","14"
"20090613","7"
"20090620","10"
"20090627","5"
"20090704","7"
"20090711","13"
"20090718","5"
"20090725","12"
"20090801","7"
"20090808","2"
"20090815","6"
"20090822","13"
"20090829","21"
"20090905","10"
"20090912","3"
"20090919","4"
"20090926","15"
"20091003","6"
"20091010","10"
"20091017","12"
"20091024","14"
"20091031","6"
"20091107","7"
"20091114","29"
"20091121","7"
"20091128","2"
"20091205","10"
"20091212","8"
"20091219","34"
"20091226","11"
"20100102","7"
"20100109","6"
"20100116","8"
"20100123","22"
"20100130","14"
"20100206","15"
"20100213","5"
"20100220","11"
"20100227","5"
"20100306","14"
"20100313","6"
"20100320","9"
"20100327","7"
"20100403","4"
"20100410","8"
"20100417","9"
"20100424","6"
"20100501","10"
"20100508","2"
"20100515","5"
"20100522","5"
"20100529","4"
"20100605","5"
"20100612","16"
"20100619","17"
"20100626","91"
"20100703","22"
"20100710","16"
"20100717","8"
"20100724","5"
"20100731","12"
"20100807","7"
"20100814","18"
"20100821","7"
"20100828","3"
"20100904","9"
"20100911","23"
"20100918","5"
"20100925","8"
"20101002","9"
"20101009","9"
"20101016","7"
"20101023","4"
"20101030","5"
"20101106","4"
"20101113","8"
"20101120","3"
"20101127","8"
"20101204","10"
"20101211","2"
"20101218","12"
"20101225","6"
"20110101","8"
"20110108","2"
"20110115","12"
"20110122","6"
"20110129","4"
"20110205","6"
"20110212","4"
"20110219","6"
"20110226","9"
"20110305","3"
"20110312","3"
"20110319","2"
"20110326","3"
"20110402","2"
"20110409","3"
"20110416","1"
"20110423","2"
"20110430","6"
"20110507","6"
"20110514","3"
"20110521","3"
"20110528","6"
"20110604","5"
"20110611","8"
"20110618","11"
"20110625","8"
"20110702","5"
"20110709","4"
"20110716","5"
"20110723","5"
"20110730","1"
"20110806","0"
"20110813","2"
"20110820","2"
"20110827","2"
"20110903","2"
"20110910","5"
"20110917","12"
"20110924","7"
"20111001","3"
"20111008","16"
"20111015","3"
"20111022","1"
"20111029","5"
"20111105","0"
"20111112","9"
"20111119","3"
"20111126","8"
"20111203","4"
"20111210","5"
"20111217","0"
"20111224","2"
"20111231","14"
"20120107","46"
"20120114","86"
"20120121","7"
"20120128","4"
"20120204","3"
"20120211","8"
"20120218","10"
"20120225","0"
"20120303","0"
"20120310","4"
"20120317","2"
"20120324","1"
"20120331","6"
"20120407","0"
"20120414","3"
"20120421","1"
"20120428","2"
"20120505","0"
"20120512","1"
"20120519","13"
"20120526","1"
"20120602","3"
"20120609","2"
"20120616","10"
"20120623","2"
"20120630","5"
"20120707","4"
"20120714","7"
"20120721","1"
"20120728","1"
"20120804","4"
"20120811","6"
"20120818","0"
"20120825","6"
"20120901","5"
